index,reviewer_name,review_id,profile_href,star,time,text
10,Julia Hong,ChdDSUhNMG9nS0VJQ0FnSURxb3FxOTZnRRAB,https://www.google.com/maps/contrib/109798537315287359274/reviews?hl=en-US,5,       a year ago      ,"        I love everything about this place - from the decor, the music, the service, and THE FOOD. 😍 Like wow. Great portions for the price. Rose straight to the top of my list of places to recommend.
     
"
11,Karen Wan,ChZDSUhNMG9nS0VJQ0FnSUNxeGFTYkdBEAE,https://www.google.com/maps/contrib/112180685922561187305/reviews?hl=en-US,5,       3 months ago      ,"        This place is trendy and offers fusion dishes, yet keeps its tasty traditional flavors. Definitely one of the best pho broths I've had! The terrasse is open as of 5pm and has plenty of space and some good music that's not too loud. Pictured are the pho and the bol LBT. Also had an amazing ceviche the second time I visited.
     
"
12,Christina Chehade,ChdDSUhNMG9nS0VJQ0FnSURxLUtYWnF3RRAB,https://www.google.com/maps/contrib/108887864289510877208/reviews?hl=en-US,5,       a year ago      ,"        The food was wow! Love the creativity with flavors. The Kimcheesy did not disappoint and was spicy enough to make the flavors pop! Imperial rolls abd burger were bomb as well! Amazing and friendly service by Mike! Felt extremely taken care of and did shots together! 🤗 💯
     
"
13,Sandra Panic,ChZDSUhNMG9nS0VJQ0FnSURleF9UZUd3EAE,https://www.google.com/maps/contrib/104427942362860315331/reviews?hl=en-US,5,       a month ago      ,"        Been to their 1st and 2nd location. Always adding seasonal favourites, and the oldies are goodies still. Service is excellent. Walked in with my cousin, sat us immediately, portions were generous and delicious, and the drinks weren't too expensive. Ambiance is cool n the playlist is poppin. Had a great time.
     
"
14,Seb H Miller,ChZDSUhNMG9nS0VJQ0FnSUR1NVlhelpnEAE,https://www.google.com/maps/contrib/116482244270806185703/reviews?hl=en-US,5,       3 months ago      ,"        So you're looking for the best poutine in town? And you want to pair it with delicious drinks and appetizers? And you also want great staff and ambiance?! Then you're looking at the right place! Kimcheesy poutine is easily top 5 best things to order in the city. IN. THE. CITY! Don't skip on this one! (Also the pho is delicious, well, everything is.... Enjoy and thank me later!)
     
"
15,Zanna Raya,ChZDSUhNMG9nS0VJQ0FnSURzcXZMZVBREAE,https://www.google.com/maps/contrib/113569617208537692284/reviews?hl=en-US,5,       2 years ago      ,"        This place is a MUST !!  What's not to love ?!?  The food is excellent and full of flavors. You have dishes that varies form traditional Tonkinese soup to crazy popcorn chicken poutine or ramen cheese.  And the service .. wow !!!!  The staff is super friendly, full of energy and super helpful. They will make sure you are having a great meal and time.   And to top it all off, their drinks are great , ambiance trendy and cool and decor .. instagrammy 😝
     
"
16,Jean-francois Rosato,ChdDSUhNMG9nS0VJQ0FnSUNlZ0ttYXZRRRAB,https://www.google.com/maps/contrib/109250639597931109058/reviews?hl=en-US,5,       3 months ago      ,"        This place has awesome food, servers and the ambiance is perfect!!! I know it's just details but when you go in the restrooms the stall have each been decorated in different fashion that is different from one another XD
     
"
17,David-Alexandre Hauben,ChdDSUhNMG9nS0VJQ0FnSURlaHRYbml3RRAB,https://www.google.com/maps/contrib/118431582638351120235/reviews?hl=en-US,4,       2 months ago      ,"        All of their recipes are absolute bomb, but the portions are awfully small. You'd expect to be able to feed a full grown adult with those prices. But even a mouse would starve on how little they hand out.
     
"
18,Sam Karb,ChdDSUhNMG9nS0VJQ0FnSURnc0tESW13RRAB,https://www.google.com/maps/contrib/105521639165857797457/reviews?hl=en-US,5,       4 years ago      ,"        Very friendly staff... the food was grate.. Usually I'm not a fan of the Vietnamese cuisine. But the eggplant salad was delicious, the shrimp pad sew was tasty and the mee kalo great!! Definitely my favorite Vietnamese  restaurant!!
     
"
19,ScoobiNikki6,ChdDSUhNMG9nS0VJQ0FnSURvZ1BMNG1BRRAB,https://www.google.com/maps/contrib/112867858477815627956/reviews?hl=en-US,5,       3 years ago      ,"        I have now been a few times to La Belle Tonkinoise and their food is delicious. They always have good music playing. But the best part is the service. They always asked for my name and remembered it throughout my meal. Great way to make the clients feel special! I highly recommend it if you want very tasty vietnamese food.
     
"
20,Kévarine,ChZDSUhNMG9nS0VJQ0FnSUN5aXFXOFZREAE,https://www.google.com/maps/contrib/108417211974501404268/reviews?hl=en-US,5,       a year ago      ,"        Quality and tasty food. Must try : their Poutine Dac Biet (they won the Poutine Week for a reason!) and their Chicken Burger BanhMi.
(Also in the picture : Small Pho Dat Biet, chicken Popcorn, potato salad)
I ordered to pick up and the food was ready right on time. The staff : overly friendly and they make you feel like you are their friends and always welcome in the restaurant.
Yes it is pricey, but it's worth.
Let's help our local businesses!
     
"
21,Andy N,ChZDSUhNMG9nS0VJQ0FnSURVODRtNWN3EAE,https://www.google.com/maps/contrib/104472187771135671245/reviews?hl=en-US,2,       3 years ago      ,"        It looks promising at first with their orignal menu offering but we were disappointed.
Great restaurants start with mastering the basics first. To show the chef’s unique skills Pad Thai and Pho. We had the Pad Thai and were disappointed with their modification of what defines Thai cuisine.
So when we had the poutine with Pho beef and Ramen noodles with cheese like Kraft’s Macaroni and cheese flavours were too spicy hot that kills the uniqueness of cheddar and umami flavour.
The poutine sauce was too salty and the preserved pink onions overtakes the origin of a poutine. Yet this poutine was un competition for Poutine week.
Perhaps this could have been a bad day by the chefs but it’ still a disappintement.
     
"
22,Cindy Nguyen,ChdDSUhNMG9nS0VJQ0FnSURxLWVYeG9nRRAB,https://www.google.com/maps/contrib/104218751861563221850/reviews?hl=en-US,5,       a year ago      ,"        Wow wow wow ! Everything was AMAZING 🔥 it’s crazy how it taste like actual Pho, desserts are delicious 🤤 the staffs were so friendly and sweet & we felt really welcomed
It’s was worth coming here 😋
     
"
23,Emma Tiger,ChRDSUhNMG9nS0VJQ0FnSURPbC1kRxAB,https://www.google.com/maps/contrib/116638219463868562887/reviews?hl=en-US,5,       5 months ago      ,"        Perfect service, staff is super nice. The food is amazing, so good and fresh. The place it self is so cool and old-school.
     
"
24,nocap,ChdDSUhNMG9nS0VJQ0FnSUNZMGNmNHVRRRAB,https://www.google.com/maps/contrib/117081237960876369698/reviews?hl=en-US,5,       a year ago      ,"        update2020:
lovely as always. you won’t regret coming here ;) staff and owner are nice and welcoming. loved the ambiance, the decor and the music. they also thought to put speakers outside for the terrasse in summer which is pretty nice and thoughtful. we ordered the famous poutine dac biet. this dish is pretty good. it tastes exactly like a pho but instead of noodles you get fries. their cooking is interesting because they mix two cultural dish and combine them. at first it tasted a bit weird but once you get used to it: it’s pretty awesome!
FYI a bit too salty for my taste next dish is the.. i forgot the name but it was rice with beef and red cabbage. it was ok. i prefer the poutine. FYI their menu changes often and they also have two dishes of the day that varies. overall five star because the ambiance and food/music diversity were everything. take the time to look around and notice the little details of their decor.
     
"
25,Brittany Williams,ChdDSUhNMG9nS0VJQ0FnSUNJM29LRml3RRAB,https://www.google.com/maps/contrib/106395923359093393071/reviews?hl=en-US,5,       4 years ago      ,"        Delicious and would 100% go back! Friday night around 7 wasn’t too busy so reservation wasn’t necessary. Really cool environment and great and helpful staff. The food was AMAZING and service was quick! Easily one of the best speciality poutines I’ve ever had. Do yourself a favour and try this place!
     
"
26,Fuentes,ChZDSUhNMG9nS0VJQ0FnSURlNHVUaFhnEAE,https://www.google.com/maps/contrib/102217173762235451389/reviews?hl=en-US,3,       2 months ago      ,"        Great quality. Friendly staff.
Pretty expensive for what you're getting even though it's good food.
     
"
27,Eliane Barb,ChdDSUhNMG9nS0VJQ0FnSURlNU5yRzl3RRAB,https://www.google.com/maps/contrib/109198148744205732036/reviews?hl=en-US,5,       2 months ago      ,"        This one on of my top restaurants ever. We dine in our take out at this place evey month and we can't get enough! Especially the kimcheesy poutine 😍
     
"
28,Jessy Tardif,ChZDSUhNMG9nS0VJQ0FnSURTb2FicGV3EAE,https://www.google.com/maps/contrib/112263423750128690421/reviews?hl=en-US,4,       a year ago      ,"        Delicious takeout experience! First let’s start by the fact we can now deliver wine, just fantastic and the La belle tonki wine selection is fantastic. Decided on the Christina Gruner-Veltliner 2019 was deliciously fruity and fresh! Loved it! Took the potato salad, the flavours are delicious and the texture is simply perfect with the crunch! 7$ is pricey, but it was delicious. The katsu curry was as delicious as the rest. Chicken was still crispy for delivery, flavours was a perfect match with the wine. Sauce is flavourful and the ginger gave a nice punch! For a first experience with La Belle Tonki, would for sure recommend and would love to go back for a sit-in experience once this pandemic is over!!
     
"
29,Vi Van Phan,ChZDSUhNMG9nS0VJQ0FnSUNvb3NpZlpBEAE,https://www.google.com/maps/contrib/111679531460552322250/reviews?hl=en-US,2,       3 years ago      ,"        Okay. This is no comfort food. Pho was simply...not good. I am sorry, sincerely. I believe it is to the taste of caucasian palette at this point. Overpriced everything. I personally wouldn't recommend this place. I feel the cook might have changed ? My friend had the Pho Poutine...I simply have no more comments.
     
"
30,Matt Langis,ChZDSUhNMG9nS0VJQ0FnSURXb3N5aWRREAE,https://www.google.com/maps/contrib/102842885958785303511/reviews?hl=en-US,5,       9 months ago      ,"        One of the rare place where you feel home. Food is amazing and staff super friendly!
     
"
31,O Sinbadinho,ChdDSUhNMG9nS0VJQ0FnSUMwc2R6U3dnRRAB,https://www.google.com/maps/contrib/108943763880708344037/reviews?hl=en-US,5,       3 years ago      ,"        Nothing but great vibes here. Original food with insanely great FLAVOUR. Staff is young and fun. A must spot to hit when you’re in Montreal. The chef is a genius in his craft.
     
"
32,Ali Arzouni,ChZDSUhNMG9nS0VJQ0FnSURlc19DdUJBEAE,https://www.google.com/maps/contrib/105098467496458336824/reviews?hl=en-US,5,       2 months ago      ,"        Absolutely on point, from the service, to the food, to the setting. This place won me over, highly recommended.
     
"
33,Diana Nguyen,ChdDSUhNMG9nS0VJQ0FnSURRLXFDZXpBRRAB,https://www.google.com/maps/contrib/109742187159666771083/reviews?hl=en-US,4,       4 years ago      ,"        Loved this place. Very unique vietnamese fusion restaurant. Food is good and excellent price. Service is great and I feel very welcome every time I come here. I recommand the kimchi poutine and the burger !
     
"
34,David Grey,ChdDSUhNMG9nS0VJQ0FnSUNheVpEOWdRRRAB,https://www.google.com/maps/contrib/107490022039854526256/reviews?hl=en-US,5,       a year ago      ,"        Enjoyed everything from the entrées to the main dishes. Will definitely return. The place offers vegetarian and vegan options.
     
"
35,Maryse Dupuis,ChZDSUhNMG9nS0VJQ0FnSUQyNE9QVWVBEAE,https://www.google.com/maps/contrib/114465091724391530529/reviews?hl=en-US,5,       7 months ago      ,"        One of my favorite restaurant ever! So fresh and tasty!
     
"
36,David Vu,ChdDSUhNMG9nS0VJQ0FnSUR1MDZPZS13RRAB,https://www.google.com/maps/contrib/112296527744094234663/reviews?hl=en-US,5,       3 months ago      ,"        Went to eat solo, excellent service and food was amazing. Highly recommend, simply wow
     
"
37,Cat,ChZDSUhNMG9nS0VJQ0FnSURHbl9tU1p3EAE,https://www.google.com/maps/contrib/118050969719548926945/reviews?hl=en-US,5,       a year ago      ,"        My favourite restaurant of all time. The staff is always the friendliest, the vibes is super chill and the food is the amazing thing you’ll ever get to try. Their menu is super innovative and always right on. Make sure you try the Poutine Dac Biet! They also have many vegetarian/vegan options that are just as good. Their drinks are also very good and nice renditions to Asian desserts.
     
"
38,Matthew Haley,ChZDSUhNMG9nS0VJQ0FnSURHLTZlVUpnEAE,https://www.google.com/maps/contrib/106042805913640401988/reviews?hl=en-US,5,       a year ago      ,"        Took PHO GA on take out. Got home and realized that I totally upset the containers in the bag while bringing them home. Took them out of bag and everything was still perfectly sealed. I appreciate that they use good sealing containers!
Great meal and great service, highly recommend. thanks!
     
"
39,Mihai Octavian Popescu,ChdDSUhNMG9nS0VJQ0FnSUM2aU92M3V3RRAB,https://www.google.com/maps/contrib/114486763418280633650/reviews?hl=en-US,5,       a year ago      ,"        2nd time that I was here, same good impression. They have some tables outside too, but inside is also pleasant. The toilets  are clean but only two available is not enough for evenings when the restaurant is full. The personal is young but polite, attentive, and fast, even in a very stressful day.  The food should be also good as they have so many online orders.
     
"
40,Jenny Fish,ChZDSUhNMG9nS0VJQ0FnSUM2aTV1ZGR3EAE,https://www.google.com/maps/contrib/100556216435595701330/reviews?hl=en-US,5,       a year ago      ,"        Visited while in town on a recommendation from a friend, and couldn’t have had a better experience!
The service was friendly and prompt, and the food was amazing! Loved the precautions for keeping customers save as well!
Will definitely be back next time we’re in the area!
     
"
41,Shanti Gonzales,ChZDSUhNMG9nS0VJQ0FnSUNtdUltNlRnEAE,https://www.google.com/maps/contrib/106545668476965474161/reviews?hl=en-US,5,       a year ago      ,"        Absolute favorite restaurant in Montreal. If I have to choose the restaurant for the night, I always take people here. The food is amazing and creative and fun - the kimcheesy poutine is my and everyone else's #1 in MT. The vibe is 10/10. Don't hesitate, eat here.
     
"
42,Bilodeau Y.Alexandra,ChdDSUhNMG9nS0VJQ0FnSUMtMF9DN25RRRAB,https://www.google.com/maps/contrib/108188081245318067367/reviews?hl=en-US,5,       a month ago      ,"        Always a fun vibe and always good food. It is a must!
     
"
43,Dong Nam Nguyen,ChdDSUhNMG9nS0VJQ0FnSURDakxHdzZBRRAB,https://www.google.com/maps/contrib/113560054257932531977/reviews?hl=en-US,5,       11 months ago      ,"        good food, good ambiance & great staff
     
"
44,Camille Ferrandez,ChZDSUhNMG9nS0VJQ0FnSUM2MVk3N2V3EAE,https://www.google.com/maps/contrib/118378338477340204190/reviews?hl=en-US,5,       a year ago      ,"        We love this place! Ate here twice and everytime it is an absolute pleasure; the staff is always so engaging and positive. The food is also good value and delicious. If you go there make sure to get the ""C'est Sake ca"" drink and the beef carpaccio! (although they are really known for their poutines!)
     
"
45,Ashley K,ChZDSUhNMG9nS0VJQ0FnSUQ2b2EyLWJnEAE,https://www.google.com/maps/contrib/107149199709203057195/reviews?hl=en-US,4,       a year ago      ,"        Kimcheesy poutine was great! Sauce is soooo yummy. The pho-style poutine (dac biet) was also interesting and tasty, but just a classic pho probably would've been better. Kinda bummed they don't twice-fry their fries, though, and curds were annoyingly small (but they were plentiful). Portion size is appropriate, but for the same price you'll get double the quantity elsewhere. Crème brûlée was delicious perfection, the pandan really adds a beautiful twist on the traditional dessert. Ambience was festive and a bit on the loud side, but unpretentious, although I do wonder why there's manga on the wall. I'll undoubtedly be back soon!
     
"
46,Jean-Sébastien Leclerc,ChdDSUhNMG9nS0VJQ0FnSUMyb1lpWXdRRRAB,https://www.google.com/maps/contrib/101963190542505020133/reviews?hl=en-US,2,       7 months ago      ,"        I personally didn't like the food but that's on me, it doesn't really reflect on the food quality. Don't go if you are not into asian cuisine.
     
"
47,MC SULY,ChZDSUhNMG9nS0VJQ0FnSUNJNC1PUU1nEAE,https://www.google.com/maps/contrib/100730658846636149211/reviews?hl=en-US,5,       4 years ago      ,"        the food is amazing, must go and try! everything is good. service is great, friendly ppl
     
"
48,Catherine Raymond-Poirier,ChdDSUhNMG9nS0VJQ0FnSURrN3Jia2tRRRAB,https://www.google.com/maps/contrib/105862087557231501174/reviews?hl=en-US,5,       3 years ago      ,"        I've been there back when it was a decent BYOB Vietnamese joint, then went back a couple of years later. What a surprise! They truly did something great and unique with this place. The daily specials are always interesting, as are the cocktails. And I really like that they kept the more ""traditional"" dishes on the menu. There's something for everyone. Then there's the service. Always nice and personalized. And the decor! Really a place to try.
     
"
49,CAI GAN XIAN Lucas,ChZDSUhNMG9nS0VJQ0FnSURxNmVMaVJBEAE,https://www.google.com/maps/contrib/117493801592316392194/reviews?hl=en-US,5,       a year ago      ,"        That place is a must to go. The menu is so creative and so cool. I am not a poutine lover but I tried their poutine, Asian style and their pho, Khmer style. It was great. So tasty. Just a word : WOW. Because of Covid, and even if we can eat inside or in the terrace, we took out and it took 10 to 15 between the order and the moment we got the food, so fast !!! I will definitely come back.
     
"
50,Bruno Leduc,ChZDSUhNMG9nS0VJQ0FnSURtOTRmRFZnEAE,https://www.google.com/maps/contrib/107489950535407747992/reviews?hl=en-US,5,       10 months ago      ,"        Amazing fusion viet ! Go classic or go wild, you can’t really go wrong, except maybe if your on a diet 😉. Staff is always super friendly despite the volume of clients that pass through the place. Keep it up 🤘
     
"
51,J. Style,ChZDSUhNMG9nS0VJQ0FnSUMtNzlxLVVREAE,https://www.google.com/maps/contrib/104080561613586915282/reviews?hl=en-US,5,       a month ago      ,"        Amazing food, amazing vibe, amazing location, amazing...simply said AMAZING.
     
"
52,Ray Ng,ChdDSUhNMG9nS0VJQ0FnSUNtc3M3ZThRRRAB,https://www.google.com/maps/contrib/109357268362484238064/reviews?hl=en-US,5,       11 months ago      ,"        Mitch and his team are always friendly and attentive! I recommend their poutine kimchi, tofu fa cocktail and pho! Next time I'll try their poutine Kim chi and burger banh mi! I wish you all a great holiday break!
     
"
53,Marie-Eve,ChdDSUhNMG9nS0VJQ0FnSUN1NU8tRmdRRRAB,https://www.google.com/maps/contrib/104176130224521430187/reviews?hl=en-US,5,       4 months ago      ,"        We had an amazing meal, can't wait to go back!
     
"
54,Shohorab Hoque,ChdDSUhNMG9nS0VJQ0FnSUNxcGVEbnJRRRAB,https://www.google.com/maps/contrib/103267782997807069086/reviews?hl=en-US,5,       a year ago      ,"        I was there a few days ago and one of the workers (I believe his name is Yanni?) was really charming and helpful! We had a good laugh me and my girlfriend! Overall, this restaurant has a great staff. Food and service were great!
     
"
55,Pineapple Xo,ChZDSUhNMG9nS0VJQ0FnSURDMGVXb0pREAE,https://www.google.com/maps/contrib/114548406685380955369/reviews?hl=en-US,4,       2 years ago      ,"        Great service, nice food and concept love the decor !
     
"
56,Daniel Lavigueur,ChdDSUhNMG9nS0VJQ0FnSUNnOS1qcDBnRRAB,https://www.google.com/maps/contrib/103549058492473853196/reviews?hl=en-US,5,       4 years ago      ,"        Rarely am I as delighted by a restaurant experience as I was with La Belle Tonkinoise. The atmosphere is dim, funky, and cool - feels like you are somewhere exclusive. The staff are incredibly friendly, make you feel very welcome. The food is excellent, and they have some innovative dishes on a rotating menu. And best of all, the prices are great. Fantastic experience overall
     
"
57,Andrew Sisk,ChZDSUhNMG9nS0VJQ0FnSUNLNFBqeWFBEAE,https://www.google.com/maps/contrib/106883356676415470329/reviews?hl=en-US,5,       a year ago      ,"        One of my favourite places in Montreal. Flavour explosions in all their fusion meals and amazing friendly atmosphere. Have had many great meals from here. Highly recommend the ""Funky"" poutines.
     
"
58,Iyand Peterson,ChZDSUhNMG9nS0VJQ0FnSUMwMHBYTEl3EAE,https://www.google.com/maps/contrib/104753833982634012008/reviews?hl=en-US,4,       3 years ago      ,"        This restaurant has a handful of great vegan friendly dishes. Their imperial were nice. I had the vegan tonkinoise soup and it was honestly great; you can tell that they take their time in making the broth and putting together the right vegetables, noodles, etc. In addition to all this, I also had the vegan general tao which was a big ""no no"". The tofu was overly crispy and the sauce wasn't mixed in properly. The service was however superb. I'm a water junkie and the staff was very accommodating. I would definitely recommend this joint. I was not able to do a bathroom check but the music and decor in the background was happening.
     
"
59,Shelby R,ChdDSUhNMG9nS0VJQ0FnSURJOWFUR3FnRRAB,https://www.google.com/maps/contrib/117769400264344300770/reviews?hl=en-US,5,       3 years ago      ,"        I was really surprised by this place. I live just a few streets away and was never compelled to try it by the looks of it on the outside. It's a really welcome addition to an otherwise pretty boring area of Villeray. The decor inside is trendy and comfy. The staff is super friendly and the food was amazing. It's a good little date spot or a cool place for a 5 à 7.
     
"
60,Dima Ghattas,ChZDSUhNMG9nS0VJQ0FnSUNnNklYc1BREAE,https://www.google.com/maps/contrib/103312266226369421869/reviews?hl=en-US,5,       5 years ago      ,"        One of my favorite restaurants.  The staff is really friendly.  The food is great; very tasty and the chef uses the freshest ingredients.  What more can I say?  The restaurant even hosted a Make your own Spring Roll workshop which I attended.  The location is superb, only a few steps away from Fabre Metro Station - super convenient.  Great place for a date, a group of friends or even just if you're in the mood for a solo dinner. LOVE IT.  Everyone should try it!!!
     
"
61,Pedro Herrera,ChdDSUhNMG9nS0VJQ0FnSUNxeGZ5V2dnRRAB,https://www.google.com/maps/contrib/107598137979705744483/reviews?hl=en-US,5,       a year ago      ,"        Words cannot describe the feeling. I got into the kimcheesy during the pandemic, but coming to the restaurant and being served by Michel is next level. Amazing music and vibe.
The kimchi noodles and the lomo saltado are also 1A, and they have veggie options too!
     
"
62,Lisbuns The Great,ChdDSUhNMG9nS0VJQ0FnSURjOEppUGlnRRAB,https://www.google.com/maps/contrib/106648798088905583513/reviews?hl=en-US,5,       2 years ago      ,"        Wow! Ordered for the whole family and everything came neatly packed and labeled, so no confusion. The meal was fantastic. Burger, kimcheesy poutine and ramen were top notch. The fried tofu was fantastic, I love a good vegetarian option! 5 stars and more, definitely returning!
     
"
63,Marky_marc,ChdDSUhNMG9nS0VJQ0FnSUR5M0stQ25BRRAB,https://www.google.com/maps/contrib/116568208336568334786/reviews?hl=en-US,5,       a year ago      ,"        Delivery: ordered their poutine week submission and it was great. I don't even like Kimchi and it was still an amazing blend of flavours. Also tried their previous braised beef poutine which was pretty good.
     
"
64,Mayhem x,ChdDSUhNMG9nS0VJQ0FnSUR5ck1xS3VRRRAB,https://www.google.com/maps/contrib/107671832716155698441/reviews?hl=en-US,5,       a year ago      ,"        A tad pricey for the size, but a taste that makes up for it. The poutine dac biet has such a fresh flavour with the squeeze of lime that I was absolutely amazed.   The poutine kimcheesy was sweet and added a great crisp with the chicken that again I was in awe.
     
"
65,Lydia Galvez-C.,ChdDSUhNMG9nS0VJQ0FnSURLeHItVmtRRRAB,https://www.google.com/maps/contrib/114187794095719676763/reviews?hl=en-US,5,       a year ago      ,"        Amazing ! People there are so welcoming and nice... what about the food ! Unbelievable tasty and full of flavors ! Definitely a place to try if you are in the area and you love asian comfort food !
     
"
66,Jose Veloso,ChZDSUhNMG9nS0VJQ0FnSUNvMTc2cFZREAE,https://www.google.com/maps/contrib/102733555293187493912/reviews?hl=en-US,5,       3 years ago      ,"        Fantastic place. Food and staff are impeccable. A hidden gem in the neighborhood.
The main menu and the specials are all worth it. Traditional dishes with a modern twist as well as new and unique offerings. A new favorite.
     
"
67,Anne Shiraishi,ChZDSUhNMG9nS0VJQ0FnSUM0dEozVUZREAE,https://www.google.com/maps/contrib/113661413738083273762/reviews?hl=en-US,5,       3 years ago      ,"        Oh my goodness, this place is awesome. Don’t judge by the name or façade, it’s so different and cooler than your typical fusion place. I only ordered take out so far, but the food is incredible and well-priced for the quality! I am so happy this place is next to my new condo, I can’t wait to take friends here on a weekend and enjoy drinks and other dishes.
     
"
68,Stanley .Luu,ChZDSUhNMG9nS0VJQ0FnSUNnM1B1SUtREAE,https://www.google.com/maps/contrib/103483816335063547057/reviews?hl=en-US,5,       4 years ago      ,"        Really great menu during the evening that changes seasonally. Asian fusion comfort food at its best. The chef can change certain dishes to compensate vegetarians, and vegans. Would highly recommend their fried chicken burgers, their poutines, and their ramen right now while they are still on the menu. But do try them all ;)
     
"
